user_subscription_id,user_id,service_id,plan_name,is_active,plan_price,created_at,due_date
24253,26e9b58d-632e-4c6b-ae7a-1b0c8b77e424,146.0,Annually Plan,1,399.0,2021-10-30 17:10:18.186571+00:00,2022-10-30
20687,42bff836-0c74-4d58-8019-07e986455cc2,768.0,1 Month Plan,0,139.0,2021-10-27 17:15:10.685560+00:00,2021-11-27
18121,9d4fec25-a1ba-4ad2-a31d-f62fc25fb94d,29.0,Vip Plan,1,399.0,2021-10-25 07:34:21.461255+00:00,2022-10-25
3752,e25d4d9e-fdec-406d-856d-5ce38af551a1,151.0,Annually Plan,1,750.0,2021-09-11 15:03:38.462703+00:00,2022-08-23
72167,eca7a040-952a-4697-b51b-962a3a23e7f6,150.0,3 Months Plan,1,299.0,2021-11-25 05:50:47.884506+00:00,2022-12-02
81307,f45bf660-ce93-476b-8a48-17417a1a2773,87.0,Basic Plan,1,499.0,2021-11-27 08:42:02.280069+00:00,2021-12-27
15157,29bb8c79-b08d-458c-ab20-9ea95ea32657,222.0,12 Months Plan,1,3588.0,2021-10-21 04:33:35.010221+00:00,2022-10-21
23050,253f05a1-2724-469b-b06a-66179f834982,185.0,Stadia Pro,0,9.99,2021-10-29 15:51:05.786391+00:00,2021-06-05
2818,5ee40bd0-a52b-469b-9564-873034c4c246,791.0,1 TB,0,6500.0,2021-09-07 13:22:13.075417+00:00,2021-09-07
6520,f74f2611-d8c4-4e94-8022-e3a38e27c77c,102.0,Family Plan,0,199.0,2021-09-19 06:53:12.386169+00:00,2021-09-22
90849,55ec6797-1f2b-49fc-8ab2-074d8553a351,8.0,12 Month Plan,1,999.0,2021-12-03 12:12:04.479908+00:00,2022-12-03
36679,6f32f3ff-6e8a-45a1-93a2-bc043c40eee6,8.0,12 Month Plan,1,999.0,2021-11-14 05:26:43.577271+00:00,2022-10-16
21201,06c6c5ee-3340-47ec-b9e5-d78e93255a20,768.0,3 Months Plan,1,399.0,2021-10-28 05:31:12.578511+00:00,2022-01-28
60492,a9e073b0-cd9b-4f7f-8bec-cc30edd5eb9c,107.0,Binge Plan,0,749.0,2021-11-23 16:42:10.524105+00:00,2020-03-05
71379,a2a8ed95-47a7-49ba-8f6e-17632d6420b5,548.0,Business,1,1900.0,2021-11-25 05:20:29.362520+00:00,2021-12-25
92669,601ed744-2565-426a-a546-699b5be2e9b6,101.0,Wwe Network Plan,1,299.0,2021-12-04 16:57:18.707001+00:00,2022-12-04
19039,4859af40-98e5-40bf-bc67-a4a6637b7325,640.0,App Subscription Plans,1,899.0,2021-10-26 04:41:10.419610+00:00,2022-10-26
84383,9cccf4e4-3f83-48c0-8a0a-e8f93f6e4bfa,29.0,Vip Plan,1,399.0,2021-11-29 02:08:58.530318+00:00,2022-11-29
90499,06741bd7-aef8-4b85-abda-29e6f2feec6c,25025.0,Fab 4 Flavours | 400 g,0,480.0,2021-12-03 07:32:42.396941+00:00,2021-12-03
75157,f9f8e006-9567-4eee-b856-90c94731684c,142.0,Annually Plan,1,999.0,2021-11-25 12:35:13.380654+00:00,2022-11-25
31711,43718855-04b1-4d29-853e-f05db3ffa987,7.0,12 Months Plan,1,300.0,2021-11-07 03:00:22.474761+00:00,2022-11-07
61895,dc358f0b-464c-40f8-afdb-c68ce9d31d48,29.0,Vip Plan,0,399.0,2021-11-23 17:15:35.272106+00:00,2021-11-22
9922,005d74e5-e13c-492d-a0e1-f14bddc48d7d,29.0,Vip Plan,1,399.0,2021-10-08 01:55:00.002090+00:00,2022-07-04
33510,1ab62211-27f8-465d-907b-0169143f271b,768.0,Youtube Premium - Family,0,189.0,2021-11-09 08:46:10.631384+00:00,2021-11-18
13081,a9a6a7f6-01c9-4845-a2f8-bd923e3b73c3,5.0,Premium,1,1499.0,2021-10-16 05:48:44.587832+00:00,2022-04-16
14171,40c8f041-746f-4b10-afae-d5769f9d3845,800.0,Project Plan 1,0,720.0,2021-10-19 02:03:54.819301+00:00,2021-01-24
61303,5b17dacd-f398-4a1a-a3da-91139eff5fed,4.0,Annually Plan,1,399.0,2021-11-23 16:59:15.363506+00:00,2022-01-25
48355,58c16749-e352-4634-bcf8-d41cb9778215,197.0,Annually,1,899.0,2021-11-23 11:43:28.543334+00:00,2022-08-10
69576,18896217-f6d8-4d8e-85b5-10ba4a7a713a,8.0,12 Month Plan,1,999.0,2021-11-24 16:58:39.663647+00:00,2022-11-24
48660,4f9e52db-ddcf-4de9-b4d0-3e48294d80ce,87.0,Premium Plan,0,799.0,2021-11-23 12:29:18.753085+00:00,2020-05-03
6735,c7dbe683-8d30-4c32-b0d5-f76efdaf6fa6,102.0,Individual Plan,1,1189.0,2021-09-20 07:58:44.784449+00:00,2022-09-20
32545,b498e19a-8479-4fdf-a068-3aeeb1f06b6c,87.0,Mobile Plan,0,199.0,2021-11-07 21:06:16.407774+00:00,2021-01-18
11607,d0f22b82-6736-41ea-a68c-c653c2426c8a,189.0,Square Pos + Processing Fee,0,0.0,2021-10-13 11:20:50.208618+00:00,2021-10-13
63574,115d06fc-5ead-4994-9c17-fa9100d42142,29.0,Vip Plan,1,399.0,2021-11-23 19:28:58.366615+00:00,2022-11-23
36505,52d46f7c-b2de-4e4e-b39e-a482fefe74b8,548.0,Business,0,1900.0,2021-11-14 03:05:24.379322+00:00,2021-02-28
9863,7ce63898-1a87-46f5-9425-355fe88a3ec9,29.0,Premium Plan,1,1499.0,2021-10-07 18:24:24.707111+00:00,2022-09-16
14625,0c66b1e5-54bb-4800-9367-db08481d94d4,87.0,Basic Plan,1,499.0,2021-10-19 22:01:23.491698+00:00,2022-01-03
24781,46d7da92-f6c0-47e2-9c97-a88397d70cd8,1168.0,Red Cable Pro,0,1499.0,2021-10-31 07:05:57.137753+00:00,2019-09-26
